Country ID,Country Code,Country Name,Region ID,Region Name,Income Group ID,Income Group Name,Income Group Acronym,Managing Agency ID,Managing Agency Acronym,Managing Agency Name,Managing Sub-agency or Bureau ID,Managing Sub-agency or Bureau Acronym,Managing Sub-agency or Bureau Name,Implementing Partner Category ID,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Sub-category Name,Implementing Partner ID,Implementing Partner Name,International Category ID,International Category Name,International Sector Code,International Sector Name,International Purpose Code,International Purpose Name,US Category ID,US Category Name,US Sector ID,US Sector Name,Submission ID,Funding Acount ID,Funding Account Name,Funding Agency ID,Funding Agency Name,Funding Agency Acronym,Foreign Assistance Objective ID,Foreign Assistance Objective Name,Aid Type Group ID,Aid Type Group Name,Activity ID,Activity Name,Activity Description,Activity Project Number,Activity Start Date,Activity End Date,Transaction Type ID,Transaction Type Name,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,3,NGO,NGO - United States,5,4000555,"JSI Research & Training Institute, Inc.",2,Health and Population,130,"Maternal and Child Health, Family Planning",13020,Reproductive health care,3,Health,16,Maternal and Child Health,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,201059,Digital Health Activity,Digital Health Activity contract to provide support services and technical assistance to the Government of Ethiopia in the Health Information system and data use to improve Health Outcomes.,72066320D00001,,2025-10-10,2,Obligations,2021,2671523,2989119
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,1,Government,Government - Non United States,2,2000051,Government of Ethiopia,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47279,"Support for the Provision of Sustainable Quality HIV Services and Attaining Impact in the Southern Nations, Nationalities and Peoples Region of the Federal Democratic Republic of Ethiopia under PEPFAR - 2017",Grants,NU2GGH002054,2017-09-30,2022-09-29,2,Obligations,2021,2634659,2947872
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,3,NGO,NGO - International,6,4000515,World Vision,2,Health and Population,130,"Maternal and Child Health, Family Planning",13020,Reproductive health care,3,Health,16,Maternal and Child Health,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,196736,CORE Group Polio Project,"The CORE Group Polio Project (CGPP) began in Ethiopia in November 2001 and has addressed a variety of challenges by reaching hard-to-reach communities with vaccination services and surveillance. As a country at high risk for importation from neighboring conflict-affected Somalia and South Sudan, Ethiopia continues to maintain high immunization rates and excellent surveillance. The country has been free of wild polio virus since January 2014. CGPP-Ethiopia presently collaborates with six international NGOs (CARE Ethiopia, Catholic Relief Services, Save the Children, World Vision Ethiopia, International Rescue Committee and African Medical Research Foundation) and five local NGOs.",AID-OAA-A-17-00026,2017-09-30,2027-09-30,2,Obligations,2021,2500000,2797204
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,2,Universities and Research Institutes,Universities and Research Institutes - United States,3,4000853,Columbia University,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47454,Technical Assistance to National Health Information Systems and Health Workforce Development of the Federal Democratic Republic of Ethiopia under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2017,Grants,NU2GGH002090,2017-09-30,2022-09-29,2,Obligations,2021,2457920,2750122
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,25,GH,Bureau for Global Health,8,Enterprises,Enterprises - United States,19,4012442,Remote Medical International,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,76,72x1033,"Agency for International Development, HIV/AIDS Working Capital Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,193453,Global Health Supply Chain - Rapid Test Kits (GHSC-RTK),"The Global Health Supply Chain - Rapid Test Kits TO (GHSC- RTKs) serves as the singular means of procuring HIV RTKs within the GHSC Program. The GHSC was designed to provide supply chain technical assistance as well as commodity procurement for the Bureau of Global Health, regardless of the commodity type. As the primary diagnostic tool for determining HIV/AIDS status and the gateway for care and treatment of HIV positive people, RTKs play a vital role in combatting the global HIV/AIDS epidemic. Without an adequate and timely supply of quality RTKs, HIV/AIDS programs cannot function. Thus Remote Medical International (RMI) will play a vital role in supporting the USGs goal of achieving an AIDS-free generation in our lifetime. The primary objective of this Contract is to ensure the availability of approved HIV Rapid Test Kits (RTKs) using a global procurement strategy. An RTK is defined as an assay for the diagnosis of infection with HIV-1/2 or type specific diagnosis of HIV-1 and HIV-2, from which test results can be read directly, within 30 minutes of the time the specimen is applied to the device, without calibration or calculations. The USAID Global Health Supply Chain - Rapid Test Kits (GHSC- RTKs) project will have the responsibility for the procurement and shipment of HIV rapid test kits (RTKs) to designated destinations and stakeholders for use in host country HIV and AIDS programs. Other procurement and supply chain-related services will be provided by other contracts within the GHSC Program. This TO is a small business set aside.",AID-OAA-TO-15-00004,2015-02-27,2024-12-31,2,Obligations,2021,2320831,2596735
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,3,NGO,NGO - United States,5,4001532,Pathfinder International,2,Health and Population,130,"Maternal and Child Health, Family Planning",13020,Reproductive health care,3,Health,16,Maternal and Child Health,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,195828,TRANSFORM/Primary Health Care Unit (PHCU),"Transform: Primary Health Care (PHC) works to strengthen Ethiopias health system, increase the quality of service delivery across the continuum of care, and improve household and community health practices and health-seeking behaviors. TRANSFORM:PHC will work in more than 400 rural woredas of Tigray, Amhara, Oromia, and Southern Nations Nationalities and Peoples regions, benefiting almost 42 million people.",AID-663-A-17-00002,2017-01-01,2022-09-30,2,Obligations,2021,2100000,2349652
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,3,NGO,NGO - Non United States,7,4015644,Amhara Development Association,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,203290,HIV/AIDS Epidemic Response Support,"Provide support to the Government of Ethiopia in reaching hiv epidemic control by providing comprehensive and quality hiv prevention, care and treatment services to target populations in priority geographic areas.",72066320CA00014,,2025-09-30,2,Obligations,2021,1990635,2227285
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,1,Government,Government - Non United States,2,2000051,Government of Ethiopia,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47113,"Strengthening Capacity for Laboratory Systems, Strategic Information, and Technical Leadership in Public Health for the National HIV/AIDS Response in the Federal Democratic Republic of Ethiopia under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2018",Grants,NU2GGH002149,,2023-09-29,2,Obligations,2021,1931036,2160600
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,1,Government,Government - Non United States,2,2000051,Government of Ethiopia,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47172,Strengthening Ownership and Sustainable Provision of Quality HIV/AIDS Services by the Oromia Region,Grants,NU2GGH001984,2016-09-30,2021-09-29,2,Obligations,2021,1842431,2061462
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,8,Enterprises,Enterprises - Non United States,20,3990007,Enterprise - Non United States Other,2,Health and Population,122,Basic Health,12263,Tuberculosis control,3,Health,12,Tuberculosis,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,204186,Support for Tuberculosis Local Network,Support for Tuberculosis Local Network (TB LON),72066320FA00003,,2023-03-24,2,Obligations,2021,1800000,2013987
